original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
45344	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-01	Parts per billion	6.156522	20.3	6	19	Parts per million	0.023375	0.034	9	31	Parts per billion	0.4136364999999999	0.7	14	0.0	Parts per million	0.214674	0.4	6	3.0
45348	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-02	Parts per billion	7.684615	17.4	5	16	Parts per million	0.0227	0.028	14	26	Parts per billion	0.35	0.9	5	0.0	Parts per million	0.2153844999999999	0.8	5	5.0
45352	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-03	Parts per billion	7.713043	24.2	7	23	Parts per million	0.02775	0.036	11	33	Parts per billion	0.318182	0.9	7	0.0	Parts per million	0.265942	1.1	6	7.0
45356	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-04	Parts per billion	11.091304	38.6	19	36	Parts per million	0.022375	0.038	9	35	Parts per billion	0.5461035	1.6	21	1.0	Parts per million	0.2670289999999999	1.0	20	8.0
45360	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-05	Parts per billion	16.03913	40.8	19	38	Parts per million	0.020583	0.043	10	40	Parts per billion	0.699675	1.3	2	1.0	Parts per million	0.4108695	1.2	21	9.0
45364	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-06	Parts per billion	19.834783	45.7	21	42	Parts per million	0.024458	0.055	10	51	Parts per billion	0.8555195	1.2	7	1.0	Parts per million	0.49529	0.9	0	10.0
45368	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-07	Parts per billion	17.822727	38.3	0	36	Parts per million	0.029125	0.053	8	49	Parts per billion	0.804762	1.4	7	1.0	Parts per million	0.4761364999999999	1.4	6	10.0
45372	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-08	Parts per billion	12.365217	27.4	7	25	Parts per million	0.023292	0.035	9	32	Parts per billion	0.5694805	1.0	7	1.0	Parts per million	0.4280795	1.0	7	7.0
45376	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-09	Parts per billion	9.204545	27.7	20	25	Parts per million	0.02075	0.033	9	31	Parts per billion	0.465476	0.8	20	0.0	Parts per million	0.319318	0.6	20	6.0
45380	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-10	Parts per billion	12.604348	26.2	7	25	Parts per million	0.020417	0.029	10	27	Parts per billion	0.635606	1.2	7	1.0	Parts per million	0.41875	1.3	6	9.0
45384	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-11	Parts per billion	6.604348	11.5	21	10	Parts per million	0.023583	0.031	10	29	Parts per billion	0.4574675	1.0	5	1.0	Parts per million	0.257337	0.3	2	3.0
45388	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-12	Parts per billion	6.034783	10.4	9	9	Parts per million	0.025	0.03	12	28	Parts per billion	0.4876625	0.9	9	0.0	Parts per million	0.2571555	0.3	0	3.0
